movie title,rating
Lashou shentan (1992),1.0
JLG/JLG - autoportrait de d�cembre (1994),1.0
The Courtyard (1995),1.0
Getting Away With Murder (1996),1.0
Vermont Is For Lovers (1992),1.0
Power 98 (1995),1.0
Venice/Venice (1992),1.0
"Mostro, Il (1994)",1.0
"Modern Affair, A (1995)",1.0
"Bloody Child, The (1996)",1.0
"Promise, The (Versprechen, Das) (1994)",1.0
"New Age, The (1994)",1.0
Police Story 4: Project S (Chao ji ji hua) (1993),1.0
Quartier Mozart (1992),1.0
"Further Gesture, A (1996)",1.0
Mille bolle blu (1993),1.0
Boys in Venice (1996),1.0
Babyfever (1994),1.0
Hostile Intentions (1994),1.0
Homage (1995),1.0
